"Make";"Model";"Price";"HP";"Capacity";"Mileage";"Fuel";"Production"
"Audi";"A4";66200;143;1968;163000;"diesel";2009
"Audi";"A4";40900;115;1900;139000;"diesel";2006
"Audi";"A4";28900;140;1968;119000;"diesel";2007
"Audi";"A4";30900;130;1900;159000;"diesel";2003
"Audi";"A4";45900;140;1968;188900;"diesel";2007
"Audi";"A4";35500;140;1968;214000;"diesel";2005
"Audi";"A4";28500;130;1896;171000;"diesel";2004
"Audi";"A4";69900;140;2000;192000;"diesel";2007
"Audi";"A4";36800;115;1896;172000;"diesel";2006
"Audi";"A4";33999;140;1968;218000;"diesel";2005
"Audi";"A4";77903.5184;143;2000;109250;"diesel";2008
"Audi";"A4";110009.2376;143;2000;68500;"diesel";2008
"Audi";"A4";70355.2072;170;2000;153450;"diesel";2006
"Audi";"A4";136744.128;143;2000;19850;"diesel";2011
"Audi";"A4";43400;140;2000;189000;"diesel";2005
"Audi";"A4";37900;140;2000;153000;"diesel";2005
"Audi";"A4";26900;131;1896;198000;"diesel";2003
"Audi";"A4";49900;140;2000;192650;"diesel";2006
"Audi";"A4";38500;140;1968;184000;"diesel";2006
"Audi";"A4";49447.9;140;1989;140000;"diesel";2006
"Audi";"A4";40900;136;2000;178000;"diesel";2005
"Audi";"A4";40000;140;2000;168000;"diesel";2005
"Audi";"A4";49900;140;1968;134002;"diesel";2005
"Audi";"A4";78900;140;2000;82000;"diesel";2008
"Audi";"A4";57564.1544;116;1900;180100;"diesel";2007
"Audi";"A4";38800;163;1800;120000;"gasoline";2004
"Audi";"A4";51900;140;1968;170000;"diesel";2008
"Audi";"A4";129990;170;1968;2000;"diesel";2011
"Audi";"A4";62900;200;1984;46300;"gasoline";2008
"Audi";"A4";39900;140;2000;196000;"diesel";2007
"Audi";"A4";46000;140;1968;189000;"diesel";2005
"Audi";"A4";39999;131;2000;186000;"gasoline";2005
"Audi";"A4";36900;140;1968;215000;"diesel";2006
"Audi";"A4";39500;140;1968;184500;"diesel";2006
"Audi";"A4";41800;140;1984;191000;"diesel";2006
"Audi";"A4";36900;116;1900;212340;"diesel";2004
"Audi";"A4";43900;140;2000;225370;"diesel";2005
"Audi";"A4";49900;115;1896;137050;"diesel";2005
"Audi";"A4";119900;233;3000;127000;"diesel";2006
"Audi";"A4";38500;130;1984;154000;"gasoline";2005
"Audi";"A4";25300;130;1896;258000;"diesel";2003
"Audi";"A4";95000;143;1968;150000;"diesel";2008
"Audi";"A4";120000;143;2000;22000;"diesel";2010
"Audi";"A4";36400;140;1968;221000;"diesel";2005
"Audi";"A4";85000;140;2000;10000;"diesel";2010
"Audi";"A4";84900;143;2000;139500;"diesel";2008
"Audi";"A4";91500;240;2967;126500;"diesel";2008
"Audi";"A4";73900;160;1800;132810;"gasoline";2008
"Audi";"A4";85900;170;1968;104571;"diesel";2008
"Audi";"A4";179000;211;1984;31000;"gasoline";2010
"Audi";"A4";38500;115;1896;165000;"diesel";2005
"Audi";"A4";80500;170;2000;50000;"diesel";2008
"Audi";"A4";49900;140;2000;118000;"diesel";2007
"Audi";"A4";72900;143;1968;140000;"diesel";2008
"Audi";"A4";155000;143;2000;2000;"diesel";2011
"Audi";"A4";46900;204;2967;159000;"diesel";2005
"Audi";"A4";31000;130;1896;180000;"diesel";2003
"Audi";"A4";39900;115;1900;215000;"diesel";2005
